Ticker,std,r,VaR,ES
KEYS,0.019,0.001,-0.019,-26.268
USB,0.017,0.0,-0.017,-26.407
MSFT,0.017,0.001,-0.017,-26.435
BWA,0.021,0.0,-0.021,-26.479
CHD,0.013,0.001,-0.013,-26.612
RSG,0.011,0.001,-0.011,-26.745
ODFL,0.017,0.001,-0.017,-26.753
SBUX,0.016,0.001,-0.016,-26.884
CMA,0.023,0.001,-0.023,-27.071
SO,0.013,0.0,-0.013,-27.135
AVGO,0.022,0.002,-0.022,-27.488
PAYX,0.014,0.001,-0.014,-27.515
NKE,0.017,0.001,-0.017,-27.747
ORCL,0.016,0.001,-0.016,-27.989
TXN,0.017,0.001,-0.017,-28.126
ZTS,0.016,0.001,-0.016,-28.152
PNR,0.018,0.0,-0.018,-28.3
META,0.022,0.001,-0.022,-28.362
PLD,0.015,0.001,-0.015,-28.45
MKC,0.013,0.001,-0.013,-28.511
UAL,0.031,0.001,-0.031,-28.632
KO,0.011,0.0,-0.011,-28.716
VFC,0.019,0.0,-0.019,-28.786
ABBV,0.017,0.001,-0.017,-28.823
ROST,0.019,0.001,-0.019,-29.0
A,0.016,0.001,-0.016,-29.028
ABT,0.015,0.001,-0.015,-29.176
FMC,0.019,0.001,-0.019,-29.186
COP,0.023,0.001,-0.023,-29.205
RHI,0.019,0.001,-0.019,-29.218
GNRC,0.023,0.001,-0.023,-29.23
NXPI,0.025,0.001,-0.025,-29.271
TT,0.016,0.001,-0.016,-29.628
RCL,0.031,0.001,-0.031,-29.722
EXR,0.015,0.001,-0.015,-29.814
WEC,0.013,0.001,-0.013,-30.111
FSLR,0.031,0.001,-0.031,-30.153
ICE,0.014,0.001,-0.014,-30.386
CPB,0.015,0.0,-0.015,-30.431
VTR,0.023,0.0,-0.023,-30.668
VZ,0.011,0.0,-0.011,-30.722
ES,0.014,0.001,-0.014,-30.771
BAX,0.014,0.001,-0.014,-31.276
XRAY,0.017,0.0,-0.017,-31.343
MSCI,0.017,0.001,-0.017,-31.492
NFLX,0.027,0.002,-0.027,-31.526
LEN,0.023,0.001,-0.023,-31.66
SGEN,0.027,0.001,-0.027,-31.913
AEP,0.013,0.001,-0.013,-31.97
DOW,0.028,0.001,-0.028,-32.004
DRI,0.022,0.001,-0.022,-32.092
NUE,0.02,0.001,-0.02,-32.162
WM,0.011,0.001,-0.011,-32.168
BMY,0.016,0.001,-0.016,-32.2
CTSH,0.018,0.001,-0.018,-32.271
WST,0.016,0.001,-0.016,-32.383
PKI,0.016,0.001,-0.016,-32.45
ZS,0.038,0.003,-0.038,-32.569
ATO,0.013,0.001,-0.013,-32.65
MRK,0.013,0.0,-0.013,-32.679
WBA,0.018,0.0,-0.018,-32.886
XOM,0.016,0.0,-0.016,-33.022
MMC,0.012,0.001,-0.012,-33.087
MOH,0.024,0.001,-0.024,-33.226
EIX,0.016,0.0,-0.016,-33.246
EQR,0.015,0.0,-0.015,-33.25
L,0.016,0.0,-0.016,-33.274
AJG,0.013,0.001,-0.013,-33.334
LVS,0.023,0.0,-0.023,-33.468
EXPD,0.014,0.001,-0.014,-33.482
AWK,0.014,0.001,-0.014,-33.569
REG,0.019,0.0,-0.019,-33.705
HAS,0.019,0.001,-0.019,-34.074
WDC,0.027,0.0,-0.027,-34.111
PYPL,0.023,0.001,-0.023,-34.37
TAP,0.018,0.0,-0.018,-34.412
C,0.02,0.0,-0.02,-34.62
GIS,0.013,0.0,-0.013,-34.671
EOG,0.025,0.001,-0.025,-34.86
LOW,0.018,0.001,-0.018,-34.983
